Timestamp,Listing Name,Listing Price,Sold,Seen,Review Score,Review Count,Store Name,Store Area,URL
1591707863,VGA Card MSI GeForce RTX 2060 Super Ventus GP OC,7007000,2,234,50,1,Sonic Computer,Makassar,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_yOopjNH_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUstho_jhopnR6A1abm-srcHi6sjRHaFiy3zwrfo5rM1i6sUdHidNHAHNosydopJR6AHNoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepeF_1zuHjNEqpVouJOd_7zzH1YJ19B-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9u6uV1h_BzuH1N1u_V6uV1h_BzuHjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Qu1a3Bz0HOjazMBHuV-2_M2CPJNJZMBvepVt3Bz08jh9z_CqzcDO_92gHJOEQcBo17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9Pdgjxd8MzIH_xMzRPNgjxdr7ONZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_V6q_eO_M2V8JY1u9xoqjOd_M2oo1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkgRBHqMWR_920HjNkgpooucH7_920H1BXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-grJ-tuJ1a39PZqOuiujB73VoHou--gBuV31zf1_xFoMNv9pedPVzp_fzmP7zpg926qMrWguV0e3BFz9BqzAVE8jWE19gMu_oCPJ-3HBgtq7OBZjB9Q7OgPJxaepz-97PM3jJd3MjFq9VaQ7BXHVVwqjYGZ7FNqpBIZugBP_-98iUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFa6_jDHpjOHu7DUMNwyfVXgcBjy9zB9fVjraUEHiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJfopKabm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_1hUBOY?t=desktop&is_search=1&dv=desktop&src=search&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fsonicompmks%2Fvga-card-msi-geforce-rtx-2060-super-ventus-gp-oc%3Fsrc%3Dtopads&keywords=2060+super&ob=23&management_type=1
1591707865,PROMO MURAH vga colorful iGame GeForce RTX 2060 SUPER Ultra-V,5700000,0,1491,0,0,kevmor komp,Jakarta Pusat,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_nNH_rFH_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUstho_jhopnR6A1abm-srcHi6sHOHmFiy3zwrfo5rM1i6sUfHmddopjN6_n7HAyO6_ydoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3OuHB21qpogHjg2_VzZq1Nke9z6zJ22_7HhqV21qR2Hu71F3jz0o1OE3_Co8Mh2_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8cgU8I2jzpJdgjPR83gU8Ioo81BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjh_jH78JN1392vzV1h_1zzP7YJqRBo81BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjja_1H7oJNEqpuvuJJF_1zgH1Y13_z617tNUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti39CmqVzVHBBR1MWuyBg-PVx__AuZZ3guzuBJPBJdrAgX_O476Iz1r7YjeSPJrfuE_M2Sb3uzq7V2rJuN3jeh8S2b8BVfgB1pe9zmus-3qcWog12-ufYo39zUrjH7ZuYIgB2C6V22HcBhrMY-QsCz9f2vZjWH63DNz7B3g91auRtibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstabm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHsjNbAHNo_VPbm-X9foxQMz2gcV7guYxgIHi6sUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7o_yhHZFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjOHZ-Pwe?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fkevmorkomp%2Fpromo-murah-vga-colorful-igame-geforce-rtx-2060-super-ultra-v%3Fsrc%3Dtopads&management_type=2&dv=desktop&page=1&src=search&is_search=1&keywords=2060+super&ob=23
1591707867,VGA GALAX Geforce RTX 2060 SUPER 8GB DDR6 (1-Click OC),6450000,94,29671,48,39,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/vga-galax-geforce-rtx-2060-super-8gb-ddr6-1-click-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D1_catid%3D3951_bmexp%3D0&whid=0
1591707869,ZOTAC RTX 2060 SUPER 8GB GDDR6,6395000,6,2967,50,1,toko expert komputer,Jakarta Pusat,https://www.tokopedia.com/tokoexpert/zotac-rtx-2060-super-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D2_catid%3D3951_bmexp%3D0&whid=0
1591707871,INNO3D RTX 2060 SUPER TWIN X2 OC 8GB GDDR6,6200000,6,3846,50,2,toko expert komputer,Jakarta Pusat,https://www.tokopedia.com/tokoexpert/inno3d-rtx-2060-super-twin-x2-oc-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D3_catid%3D3951_bmexp%3D0&whid=0
1591707873,Zotac GeForce RTX 2060 SUPER 8GB DDR6 256 Bit,6442000,11,7288,50,6,COC Komputer,Jakarta Pusat,https://www.tokopedia.com/cockomputer/zotac-geforce-rtx-2060-super-8gb-ddr6-256-bit?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D4_catid%3D3951_bmexp%3D0&whid=0
1591707875,VGA Nvidia Geforce Zotac 2060 Super mini 8GB DDR 6 256 bit,6550000,51,1242,50,12,xagacom,Surabaya,https://www.tokopedia.com/xagacomp/vga-nvidia-geforce-zotac-2060-super-mini-8gb-ddr-6-256-bit?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D5_catid%3D3951_bmexp%3D0&whid=0
1591707877,ZOTAC RTX 2060 SUPER AMP 8GB GDDR6,6895000,4,1780,50,2,toko expert komputer,Jakarta Pusat,https://www.tokopedia.com/tokoexpert/zotac-rtx-2060-super-amp-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D6_catid%3D3951_bmexp%3D0&whid=0
1591707879,Galax Geforce RTX 2060 SUPER 8GB DDR6 (1-Click-OC),6449900,6,1564,50,2,Win Computer,Surabaya,https://www.tokopedia.com/wincomputer/galax-geforce-rtx-2060-super-8gb-ddr6-1-click-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D7_catid%3D3951_bmexp%3D0&whid=0
1591707881,Zotac Geforce RTX 2060 Super Mini 8GB DDR6 256 BIT,6550000,3,2082,50,2,tf com,Jakarta Utara,https://www.tokopedia.com/tfcom/zotac-geforce-rtx-2060-super-mini-8gb-ddr6-256-bit?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D8_catid%3D3951_bmexp%3D0&whid=0
1591707883,GALAX Geforce RTX 2060 SUPER 8GB DDR6 (1-Click OC),6450000,15,2306,48,6,GALAX Official,Jakarta Pusat,https://www.tokopedia.com/galaxofficial/galax-geforce-rtx-2060-super-8gb-ddr6-1-click-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D9_catid%3D3951_bmexp%3D0&whid=0
1591707885,MSI GeForce RTX 2060 SUPER 8GB DDR6 - Gaming X,7740000,3,3662,50,2,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/msi-geforce-rtx-2060-super-8gb-ddr6-gaming-x?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D10_catid%3D3951_bmexp%3D0&whid=0
1591707888,ASUS RTX 2060 SUPER DUAL OC 8GB GDDR6,7470000,1,986,0,0,toko expert komputer,Jakarta Pusat,https://www.tokopedia.com/tokoexpert/asus-rtx-2060-super-dual-oc-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D11_catid%3D3951_bmexp%3D0&whid=0
1591707890,VGA MSI GeForce RTX 2060 SUPER 8GB DDR6 - Ventus GP OC,7121000,9,3895,40,2,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/vga-msi-geforce-rtx-2060-super-8gb-ddr6-ventus-gp-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D12_catid%3D3951_bmexp%3D0&whid=0
1591707892,VGA ASUS ROG Strix NVidia GeForce RTX 2060 SUPER OC edition 8GB GDDR6,8190000,8,6352,50,3,GASOL,Malang,https://www.tokopedia.com/gasol/vga-asus-rog-strix-nvidia-geforce-rtx-2060-super-oc-edition-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D13_catid%3D3951_bmexp%3D0&whid=0
1591707894,GALAX Geforce RTX 2060 SUPER 8GB DDR6 (1-Click OC),6450000,10,3485,50,2,COC Komputer,Jakarta Pusat,https://www.tokopedia.com/cockomputer/galax-geforce-rtx-2060-super-8gb-ddr6-1-click-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D14_catid%3D3951_bmexp%3D0&whid=0
1591707896,Gigabyte VGA GeForce RTX 2060 SUPER WINDFORCE OC 8G GV-N206SWF2OC-8GD,7921000,2,1197,50,2,Gigabyte Component,Jakarta Pusat,https://www.tokopedia.com/gigabyteofficial/gigabyte-vga-geforce-rtx-2060-super-windforce-oc-8g-gv-n206swf2oc-8gd?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D15_catid%3D3951_bmexp%3D0&whid=0
1591707898,VGA INNO3D RTX 2060 Super Twin X2 OC 8GB GDDR6,6365000,7,1786,50,3,Prisma Computer,Jakarta Barat,https://www.tokopedia.com/prismacomharco/vga-inno3d-rtx-2060-super-twin-x2-oc-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D16_catid%3D3951_bmexp%3D0&whid=0
1591707900,VGA Zotac GeForce RTX 2060 SUPER 8GB DDR6 AMP,7009000,7,8227,50,4,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/vga-zotac-geforce-rtx-2060-super-8gb-ddr6-amp?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D17_catid%3D3951_bmexp%3D0&whid=0
1591707902,VGA Gigabyte GeForce RTX 2060 SUPER 8GB DDR6 Aorus - GV-N206SAORUS-8GC,8873000,17,17785,48,7,Enter Komputer Official,Jakarta Pusat,https://www.tokopedia.com/enterkomputer/vga-gigabyte-geforce-rtx-2060-super-8gb-ddr6-aorus-gv-n206saorus-8gc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D18_catid%3D3951_bmexp%3D0&whid=0
1591707904,MSI RTX 2060 SUPER GAMING X 8GB GDDR6,7615000,6,1613,50,4,toko expert komputer,Jakarta Pusat,https://www.tokopedia.com/tokoexpert/msi-rtx-2060-super-gaming-x-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D19_catid%3D3951_bmexp%3D0&whid=0
1591707906,ASUS RTX 2060 DUAL OC 8GB SUPER,7548000,3,1103,50,2,Yoestore,Jakarta Pusat,https://www.tokopedia.com/yoestore/asus-rtx-2060-dual-oc-8gb-super?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D20_catid%3D3951_bmexp%3D0&whid=0
1591707908,VGA PALIT - GEFORCE RTX 2060 SUPER DUAL / Dual RTX2060 SUPER 8GB,6454000,10,3939,50,3,Nano Komputer,Jakarta Pusat,https://www.tokopedia.com/nanokomputer/vga-palit-geforce-rtx-2060-super-dual-dual-rtx2060-super-8gb?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D21_catid%3D3951_bmexp%3D0&whid=0
1591707910,MSI RTX 2060 SUPER VENTUS OC,7198000,2,1313,50,2,Yoestore,Jakarta Pusat,https://www.tokopedia.com/yoestore/msi-rtx-2060-super-ventus-oc?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D22_catid%3D3951_bmexp%3D0&whid=0
1591707912,Zotac GeForce RTX 2060 SUPER 8GB DDR6 AMP,6880000,4,944,50,1,distributorkomputer,Jakarta Pusat,https://www.tokopedia.com/distributorpc/zotac-geforce-rtx-2060-super-8gb-ddr6-amp?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D23_catid%3D3951_bmexp%3D0&whid=0
1591707914,VGA ASUS ROG Strix NVidia GeForce RTX 2060 SUPER OC edition 8GB GDDR6,8190000,3,1414,50,2,House Gamers,Malang,https://www.tokopedia.com/harismahatma/vga-asus-rog-strix-nvidia-geforce-rtx-2060-super-oc-edition-8gb-gddr6?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D24_catid%3D3951_bmexp%3D0&whid=0
1591707916,VGA EVGA RTX 2060 6GB DDR6 SUPER SC ULTRA,6575000,4,1506,45,2,Fire_Up Computer,Jakarta Pusat,https://www.tokopedia.com/fireupcom/vga-evga-rtx-2060-6gb-ddr6-super-sc-ultra?trkid=f%3DCa299L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D1_ob%3D1000_q%3D2060+Super_bmexp%3D0_po%3D25_catid%3D3951_bmexp%3D0&whid=0
